date,crop_type,region,quality,quantity_kg,market_price,season,weather,market_demand,source
2025-06-24,Wheat,South,Grade_B,1000,29.86,Monsoon,Cloudy,Very Low,generated
2025-06-26,Cotton,Central,Grade_A,500,41.71,Monsoon,Hot,Very Low,generated
2025-06-27,Sugarcane,West,Grade_A,2000,46.19,Monsoon,Sunny,High,generated
2025-06-27,Pulses,North,Grade_A,3000,99.69,Monsoon,Cloudy,Medium,generated
2025-06-28,Sugarcane,East,Grade_A,2000,41.09,Monsoon,Cloudy,Medium,generated
2025-06-29,Fruits,South,Premium,10000,69.64,Monsoon,Humid,High,generated
2025-06-29,Wheat,Central,Grade_A,500,48.46,Monsoon,Rainy,Medium,generated
2025-06-30,Corn,Northeast,Premium,5000,39.41,Monsoon,Cold,Low,generated
2025-07-01,Sugarcane,Northeast,Grade_B,1000,38.54,Monsoon,Rainy,Very High,generated
2025-07-02,Cotton,Central,Grade_B,500,30.0,Monsoon,Cloudy,Very Low,generated
2025-07-02,Corn,Northeast,Premium,5000,43.34,Monsoon,Humid,Low,generated
2025-07-02,Sugarcane,West,Grade_B,2000,26.28,Monsoon,Humid,Low,generated
2025-07-05,Soybean,Northeast,Grade_B,800,41.97,Monsoon,Cloudy,High,generated
2025-07-06,Soybean,South,Grade_B,800,38.8,Monsoon,Cloudy,High,generated
2025-07-08,Rice,Northeast,Premium,1500,67.44,Monsoon,Cloudy,Very Low,generated
2025-07-11,Soybean,Northeast,Premium,5000,64.94,Monsoon,Cloudy,Medium,generated
2025-07-13,Vegetables,Northeast,Premium,10000,30.06,Monsoon,Sunny,Low,generated
2025-07-13,Sugarcane,South,Grade_A,2000,38.89,Monsoon,Rainy,Low,generated
2025-07-15,Sugarcane,North,Grade_A,10000,34.03,Monsoon,Sunny,Low,generated
2025-07-16,Corn,East,Grade_A,2000,29.84,Monsoon,Cloudy,Low,generated
2025-07-17,Wheat,South,Grade_A,8000,67.11,Monsoon,Humid,High,generated
2025-07-21,Corn,Northeast,Grade_B,1500,23.32,Monsoon,Humid,Low,generated
2025-07-23,Wheat,West,Grade_A,2000,52.1,Monsoon,Rainy,Low,generated
2025-07-24,Rice,Central,Premium,8000,66.21,Monsoon,Humid,Medium,generated
2025-07-24,Pulses,East,Grade_B,10000,76.59,Monsoon,Hot,High,generated
2025-07-24,Soybean,South,Grade_B,8000,41.49,Monsoon,Rainy,High,generated
2025-07-25,Soybean,North,Grade_A,10000,32.05,Monsoon,Cloudy,Low,generated
2025-07-27,Rice,South,Grade_A,1500,85.55,Monsoon,Cold,High,generated
2025-07-29,Soybean,Central,Grade_A,3000,50.99,Monsoon,Cold,High,generated
2025-07-30,Fruits,Central,Premium,3000,51.8,Monsoon,Cold,Low,generated
2025-07-31,Rice,Central,Grade_C,5000,32.5,Monsoon,Hot,Medium,generated
2025-08-04,Wheat,South,Grade_B,800,33.42,Monsoon,Rainy,Low,generated
2025-08-05,Corn,South,Premium,1000,44.04,Monsoon,Cloudy,Low,generated
2025-08-06,Sugarcane,Northeast,Grade_B,2000,31.22,Monsoon,Hot,Medium,generated
2025-08-09,Vegetables,North,Grade_A,1500,29.44,Monsoon,Hot,Medium,generated
2025-08-10,Rice,Central,Grade_C,1000,32.5,Monsoon,Moderate,Low,generated
2025-08-13,Vegetables,Northeast,Premium,8000,29.3,Monsoon,Cloudy,High,generated
2025-08-13,Spices,West,Grade_B,5000,104.08,Monsoon,Hot,Very High,generated
2025-08-16,Vegetables,South,Grade_A,2000,23.78,Monsoon,Moderate,Low,generated
2025-08-16,Cotton,Northeast,Grade_B,2000,50.14,Monsoon,Moderate,High,generated
2025-08-18,Wheat,North,Grade_A,10000,55.05,Monsoon,Cold,High,generated
2025-08-22,Wheat,East,Grade_B,10000,27.16,Monsoon,Rainy,Very Low,generated
2025-08-22,Corn,Northeast,Premium,1500,43.3,Monsoon,Sunny,Medium,generated
2025-08-22,Corn,South,Premium,2000,49.24,Monsoon,Cold,Medium,generated
2025-08-24,Cotton,Central,Grade_B,1500,41.6,Monsoon,Cloudy,High,generated
2025-08-24,Sugarcane,North,Premium,5000,49.06,Monsoon,Cold,High,generated
2025-08-25,Soybean,West,Grade_B,2000,40.99,Monsoon,Hot,High,generated
2025-08-25,Wheat,Central,Grade_C,500,30.02,Monsoon,Rainy,Medium,generated
2025-08-28,Fruits,West,Grade_A,3000,47.36,Monsoon,Cloudy,Low,generated
2025-08-30,Fruits,Northeast,Grade_C,1500,27.5,Monsoon,Humid,Low,generated
2025-08-30,Vegetables,Northeast,Grade_A,800,34.29,Monsoon,Sunny,Very High,generated
2025-08-30,Fruits,Central,Premium,10000,61.48,Monsoon,Cloudy,Medium,generated
2025-09-01,Soybean,West,Grade_A,500,39.56,Autumn,Sunny,Very Low,generated
2025-09-02,Cotton,West,Premium,3000,102.93,Autumn,Cold,High,generated
2025-09-03,Rice,Central,Grade_C,5000,46.92,Autumn,Cloudy,Very High,generated
2025-09-03,Corn,Central,Grade_C,8000,19.3,Autumn,Hot,Medium,generated
2025-09-07,Vegetables,Northeast,Grade_B,1000,26.88,Autumn,Cloudy,High,generated
2025-09-12,Sugarcane,North,Premium,800,46.93,Autumn,Hot,Low,generated
2025-09-18,Corn,South,Grade_C,800,23.93,Autumn,Hot,High,generated
2025-09-20,Vegetables,South,Premium,5000,41.63,Autumn,Hot,Low,generated
2025-09-20,Wheat,South,Grade_C,800,22.5,Autumn,Sunny,Very Low,generated
2025-09-21,Soybean,South,Grade_A,1000,55.29,Autumn,Sunny,High,generated
2025-09-24,Wheat,West,Grade_B,1500,39.17,Autumn,Moderate,Low,generated
2025-09-24,Wheat,Central,Premium,800,79.97,Autumn,Rainy,Very High,generated
2025-09-28,Wheat,North,Premium,8000,45.44,Autumn,Hot,Very Low,generated
2025-09-29,Fruits,West,Grade_A,3000,44.77,Autumn,Moderate,Medium,generated
2025-09-29,Cotton,North,Grade_B,5000,54.33,Autumn,Sunny,Medium,generated
2025-09-30,Fruits,West,Premium,1500,79.87,Autumn,Cold,Medium,generated
2025-10-01,Soybean,Northeast,Grade_C,8000,25.47,Autumn,Rainy,Medium,generated
2025-10-04,Sugarcane,Northeast,Grade_B,2000,28.03,Autumn,Sunny,Low,generated
2025-10-05,Soybean,Central,Grade_A,2000,40.86,Autumn,Sunny,Low,generated
2025-10-05,Vegetables,Central,Grade_A,800,34.18,Autumn,Humid,Low,generated
2025-10-07,Wheat,West,Grade_A,8000,52.02,Autumn,Rainy,Medium,generated
2025-10-09,Corn,South,Premium,1500,41.39,Autumn,Humid,Low,generated
2025-10-12,Soybean,North,Grade_A,500,42.77,Autumn,Cloudy,Low,generated
2025-10-13,Cotton,Central,Grade_B,500,50.39,Autumn,Sunny,Medium,generated
2025-10-14,Corn,Central,Premium,5000,40.34,Autumn,Humid,Medium,generated
2025-10-16,Rice,South,Grade_B,3000,53.89,Autumn,Moderate,Medium,generated
2025-10-16,Vegetables,Northeast,Grade_B,800,23.84,Autumn,Hot,Low,generated
2025-10-19,Soybean,North,Premium,800,84.92,Autumn,Moderate,High,generated
2025-10-22,Pulses,West,Grade_B,8000,77.31,Autumn,Cold,Medium,generated
2025-10-24,Cotton,Central,Grade_B,10000,39.25,Autumn,Sunny,Low,generated
2025-10-25,Cotton,South,Grade_B,8000,52.2,Autumn,Cold,Medium,generated
2025-10-25,Spices,South,Grade_B,10000,87.92,Autumn,Rainy,Low,generated
2025-10-28,Rice,North,Grade_B,800,58.99,Autumn,Cold,High,generated
2025-11-01,Vegetables,South,Grade_A,10000,33.67,Autumn,Cold,Low,generated
2025-11-01,Cotton,South,Grade_C,500,37.72,Autumn,Hot,Medium,generated
2025-11-03,Wheat,East,Grade_C,5000,28.07,Autumn,Sunny,High,generated
2025-11-03,Soybean,Northeast,Grade_A,500,44.18,Autumn,Sunny,Medium,generated
2025-11-07,Rice,Central,Grade_C,3000,37.43,Autumn,Sunny,High,generated
2025-11-08,Wheat,South,Premium,3000,67.11,Autumn,Humid,Medium,generated
2025-11-11,Spices,South,Grade_C,3000,60.0,Autumn,Moderate,Medium,generated
2025-11-11,Soybean,East,Grade_B,500,38.36,Autumn,Rainy,Very High,generated
2025-11-12,Fruits,East,Grade_B,10000,43.99,Autumn,Moderate,Medium,generated
2025-11-12,Cotton,Northeast,Premium,5000,73.87,Autumn,Sunny,Low,generated
2025-11-15,Sugarcane,Central,Grade_C,3000,22.22,Autumn,Rainy,High,generated
2025-11-15,Sugarcane,North,Grade_B,3000,32.3,Autumn,Cloudy,Medium,generated
2025-11-17,Sugarcane,Central,Grade_A,1500,33.79,Autumn,Cloudy,Low,generated
2025-11-20,Rice,North,Grade_C,8000,32.5,Autumn,Sunny,Low,generated
2025-11-20,Pulses,Central,Grade_B,1500,81.4,Autumn,Hot,High,generated
2025-11-20,Cotton,Northeast,Grade_A,3000,55.28,Autumn,Hot,Medium,generated
2025-11-21,Vegetables,East,Grade_B,1000,26.9,Autumn,Rainy,Low,generated
2025-11-24,Corn,West,Grade_A,1500,33.16,Autumn,Sunny,Low,generated
2025-11-24,Cotton,North,Grade_A,5000,85.76,Autumn,Rainy,High,generated
2025-11-26,Soybean,Central,Grade_B,3000,43.43,Autumn,Sunny,Very High,generated
2025-11-26,Fruits,North,Grade_B,3000,39.15,Autumn,Moderate,Low,generated
2025-11-26,Spices,East,Grade_B,2000,90.07,Autumn,Sunny,Low,generated
2025-11-28,Fruits,East,Grade_A,500,38.39,Autumn,Sunny,Low,generated
2025-11-29,Fruits,Northeast,Premium,3000,66.03,Autumn,Hot,Medium,generated
2025-12-03,Fruits,Northeast,Grade_A,8000,60.38,Winter,Sunny,High,generated
2025-12-05,Spices,East,Grade_C,3000,65.27,Winter,Hot,High,generated
2025-12-06,Wheat,Northeast,Grade_A,10000,50.62,Winter,Hot,High,generated
2025-12-07,Rice,Northeast,Grade_A,8000,46.11,Winter,Moderate,Low,generated
2025-12-08,Wheat,Northeast,Grade_B,800,28.25,Winter,Humid,Medium,generated
2025-12-08,Corn,East,Premium,800,55.23,Winter,Cold,Very High,generated
2025-12-08,Sugarcane,East,Premium,3000,61.33,Winter,Rainy,High,generated
2025-12-09,Corn,Central,Grade_A,3000,31.34,Winter,Hot,Low,generated
2025-12-09,Wheat,West,Grade_C,8000,27.89,Winter,Rainy,Medium,generated
2025-12-10,Fruits,East,Grade_B,1500,42.82,Winter,Cloudy,Medium,generated
2025-12-11,Wheat,North,Grade_B,5000,39.95,Winter,Humid,Very High,generated
2025-12-11,Corn,West,Grade_A,3000,29.5,Winter,Hot,Low,generated
2025-12-12,Corn,South,Grade_A,1000,38.84,Winter,Sunny,High,generated
2025-12-13,Fruits,West,Grade_A,5000,68.19,Winter,Cold,High,generated
2025-12-16,Fruits,East,Grade_A,800,61.94,Winter,Hot,Medium,generated
2025-12-17,Spices,East,Grade_C,5000,60.0,Winter,Cloudy,Medium,generated
2025-12-17,Vegetables,West,Grade_B,2000,29.95,Winter,Humid,High,generated
2025-12-18,Vegetables,Northeast,Grade_A,5000,39.06,Winter,Hot,High,generated
2025-12-23,Soybean,Central,Grade_C,1000,33.99,Winter,Cloudy,Very High,generated
2025-12-24,Rice,Central,Grade_A,1500,60.24,Winter,Cold,High,generated
2025-12-25,Cotton,South,Grade_A,800,58.01,Winter,Humid,Medium,generated
2025-12-26,Wheat,North,Grade_C,3000,26.74,Winter,Humid,High,generated
2025-12-26,Corn,Northeast,Grade_B,8000,23.64,Winter,Humid,Low,generated
2025-12-28,Cotton,Central,Grade_A,500,70.99,Winter,Rainy,Very High,generated
2025-12-31,Wheat,East,Premium,800,56.53,Winter,Cloudy,High,generated
2026-01-02,Vegetables,North,Grade_A,500,37.0,Winter,Moderate,Medium,generated
2026-01-03,Wheat,West,Grade_B,2000,32.67,Winter,Cloudy,Low,generated
2026-01-04,Vegetables,West,Grade_B,1000,20.51,Winter,Hot,Medium,generated
2026-01-09,Corn,West,Grade_A,1500,26.48,Winter,Rainy,Very Low,generated
2026-01-12,Rice,West,Grade_A,1500,76.74,Winter,Cold,High,generated
2026-01-12,Spices,North,Grade_C,1000,60.0,Winter,Moderate,Medium,generated
2026-01-15,Sugarcane,Central,Grade_B,10000,36.04,Winter,Moderate,High,generated
2026-01-18,Soybean,Northeast,Grade_A,2000,63.39,Winter,Hot,Very High,generated
2026-01-18,Cotton,South,Premium,1000,70.35,Winter,Cloudy,Medium,generated
2026-01-19,Fruits,North,Grade_C,1000,33.18,Winter,Hot,Medium,generated
2026-01-19,Cotton,Northeast,Grade_A,10000,65.03,Winter,Sunny,High,generated
2026-01-20,Fruits,North,Grade_A,5000,56.43,Winter,Moderate,Low,generated
2026-01-21,Wheat,East,Premium,5000,53.98,Winter,Moderate,Medium,generated
2026-01-21,Corn,Northeast,Grade_A,800,38.66,Winter,Hot,High,generated
2026-01-21,Fruits,Northeast,Grade_A,1000,52.61,Winter,Rainy,Medium,generated
2026-01-22,Soybean,East,Premium,500,58.58,Winter,Sunny,Low,generated
2026-01-24,Sugarcane,West,Grade_C,1500,33.22,Winter,Cloudy,Very High,generated
2026-01-28,Pulses,North,Grade_A,3000,76.03,Winter,Cold,Very Low,generated
2026-01-29,Vegetables,South,Grade_A,1500,48.74,Winter,Cold,Medium,generated
2026-01-31,Fruits,Central,Grade_B,10000,48.4,Winter,Cold,High,generated
2026-01-31,Vegetables,East,Grade_A,1500,39.2,Winter,Cloudy,Very High,generated
2026-02-04,Spices,East,Grade_C,800,60.0,Winter,Cloudy,Very High,generated
2026-02-05,Wheat,Northeast,Premium,800,60.85,Winter,Rainy,Medium,generated
2026-02-07,Rice,North,Grade_A,500,43.02,Winter,Cold,Very Low,generated
2026-02-08,Rice,Northeast,Grade_B,3000,49.92,Winter,Moderate,Low,generated
2026-02-11,Soybean,Northeast,Grade_A,1000,48.06,Winter,Moderate,Low,generated
2026-02-12,Spices,North,Grade_B,800,97.76,Winter,Cold,Low,generated
2026-02-15,Sugarcane,South,Premium,1500,61.3,Winter,Rainy,Medium,generated
2026-02-16,Cotton,Central,Grade_B,500,48.11,Winter,Sunny,Medium,generated
2026-02-19,Vegetables,Central,Grade_C,500,19.96,Winter,Cold,Low,generated
